months_as_customer,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_location,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
211,100/300,500,1040.75,0,FEMALE,JD,prof-specialty,not-in-family,0,0,2/3/2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,2275 Best Lane,1,YES,1,1,?,42000,7000,7000,28000,N
206,250/500,1000,1302.4,6000000,MALE,JD,craft-repair,unmarried,47200,-69700,2/17/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,1598 3rd Drive,3,NO,2,3,YES,36300,3300,9900,23100,N
166,100/300,2000,1588.55,0,MALE,MD,protective-serv,unmarried,59600,-32100,1/9/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,7740 MLK St,1,NO,0,0,?,40320,5760,5760,28800,N
165,500/1000,500,1399.26,0,FEMALE,High School,tech-support,own-child,70500,0,2/8/2015,Parked Car,?,Minor Damage,Police,1240 Tree Lane,1,?,2,0,?,3960,330,660,2970,N
274,100/300,2000,1352.31,0,MALE,College,farming-fishing,wife,40700,-47300,2/6/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,8983 Francis Ridge,1,YES,0,3,YES,63840,10640,10640,42560,Y
81,250/500,1000,1139,6000000,FEMALE,Masters,sales,husband,42400,0,1/14/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,7756 Solo Drive,3,?,1,2,?,44730,4970,4970,34790,Y
280,250/500,1000,1397.67,0,MALE,JD,machine-op-inspct,wife,57900,0,1/22/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Other,9034 Weaver Ridge,3,YES,1,2,NO,84720,14120,14120,56480,N
194,250/500,500,823.17,0,MALE,Masters,adm-clerical,own-child,0,0,2/23/2015,Multi-vehicle Collision,Front Collision,Major Damage,Other,1126 Texas Hwy,3,?,2,2,NO,61500,6150,12300,43050,N
112,100/300,500,965.13,0,FEMALE,Masters,tech-support,unmarried,60000,-54800,2/22/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,2808 Elm St,3,?,0,1,?,51000,8500,8500,34000,N
24,500/1000,1000,1922.84,0,FEMALE,High School,machine-op-inspct,wife,0,-45200,1/24/2015,Single Vehicle Collision,Side Collision,Total Loss,Police,5061 Francis Ave,1,?,2,1,NO,46800,4680,9360,32760,N
93,250/500,2000,1624.82,0,MALE,PhD,exec-managerial,unmarried,65300,-65600,2/9/2015,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,4965 MLK Drive,1,?,1,1,?,78120,17360,8680,52080,N
171,250/500,2000,1277.25,0,FEMALE,College,exec-managerial,other-relative,84900,0,1/19/2015,Single Vehicle Collision,Rear Collision,Major Damage,Police,8668 Flute St,1,NO,1,2,?,69200,13840,6920,48440,Y
200,100/300,1000,1439.34,0,FEMALE,High School,sales,other-relative,45300,-20400,1/1/2015,Vehicle Theft,?,Minor Damage,Police,2577 Washington Drive,1,?,0,0,NO,3690,410,410,2870,N
120,250/500,1000,1281.27,0,FEMALE,PhD,tech-support,not-in-family,68900,0,1/7/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7709 Rock Lane,3,NO,0,3,?,65500,6550,6550,52400,N
325,500/1000,500,1348.83,0,FEMALE,High School,prof-specialty,wife,46300,-77500,2/1/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,9358 Texas Ridge,3,?,1,2,YES,76120,13840,6920,55360,N
124,250/500,1000,1198.15,0,FEMALE,MD,other-service,not-in-family,0,-43200,2/21/2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,8080 Oak Lane,3,NO,0,2,YES,73560,12260,12260,49040,N
211,100/300,2000,1221.22,0,MALE,Masters,machine-op-inspct,other-relative,76000,0,1/21/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,6408 Weaver Ridge,1,YES,0,1,?,52030,9460,4730,37840,N
287,500/1000,2000,968.74,0,MALE,Masters,transport-moving,wife,0,-49000,1/19/2015,Vehicle Theft,?,Trivial Damage,None,5532 Weaver Ridge,1,?,2,3,?,5170,470,940,3760,N
122,250/500,1000,1220.71,0,MALE,PhD,machine-op-inspct,own-child,58600,-28700,2/27/2015,Parked Car,?,Minor Damage,None,9101 2nd Hwy,1,?,2,1,YES,8190,1890,1260,5040,N
22,250/500,2000,1238.62,6000000,MALE,MD,exec-managerial,other-relative,0,-56200,2/14/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,8576 Andromedia St,1,?,2,3,?,70800,7080,14160,49560,Y
106,500/1000,2000,1320.75,0,FEMALE,JD,farming-fishing,wife,54100,0,2/1/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Police,6315 2nd Lane,3,?,0,3,YES,45630,5070,5070,35490,N
398,100/300,500,990.98,0,FEMALE,Associate,exec-managerial,wife,0,-57900,2/2/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,1536 Flute Drive,1,YES,2,1,?,99320,7640,15280,76400,Y
214,500/1000,500,1398.51,4000000,MALE,Masters,tech-support,not-in-family,0,-57100,2/1/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,4672 MLK St,3,?,2,0,NO,64000,12800,6400,44800,Y
209,100/300,500,1355.08,0,FEMALE,MD,other-service,other-relative,58100,0,1/19/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,2204 Washington Lane,1,?,1,1,?,47300,4730,4730,37840,N
82,100/300,1000,1384.51,0,MALE,PhD,adm-clerical,not-in-family,13100,-38200,2/18/2015,Single Vehicle Collision,Rear Collision,Major Damage,Other,9484 Pine Drive,1,NO,2,3,?,71680,8960,8960,53760,Y
193,250/500,500,847.03,0,FEMALE,JD,craft-repair,not-in-family,0,0,2/8/2015,Single Vehicle Collision,Side Collision,Major Damage,Other,5431 3rd Ridge,1,?,1,0,YES,112320,17280,17280,77760,Y
134,100/300,1000,1000.06,0,FEMALE,PhD,farming-fishing,wife,0,0,1/9/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,7121 Britain Drive,1,?,1,0,?,82720,7520,15040,60160,N
288,100/300,1000,1046.71,0,MALE,Masters,priv-house-serv,husband,0,0,2/27/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,8586 1st Ridge,3,?,2,1,?,48060,10680,5340,32040,N
104,250/500,500,1158.03,0,MALE,High School,exec-managerial,own-child,31900,-44600,1/8/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Police,7582 Pine Drive,3,YES,1,3,YES,63570,9780,9780,44010,Y
431,100/300,1000,1372.27,0,FEMALE,Masters,craft-repair,own-child,17600,0,1/8/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,1388 Embaracadero Hwy,3,NO,2,3,?,63240,10540,10540,42160,N
101,100/300,1000,1053.04,7000000,FEMALE,Masters,other-service,own-child,52000,-44500,2/24/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,5621 4th Ave,3,NO,1,3,?,54240,9040,9040,36160,Y
375,100/300,1000,1275.39,0,MALE,Associate,sales,other-relative,0,0,2/12/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,8150 Washington Ridge,1,YES,2,3,NO,37280,0,0,37280,Y
461,100/300,2000,1402.75,0,MALE,JD,exec-managerial,husband,0,0,2/18/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,4268 2nd Ave,3,?,2,1,YES,72100,7210,14420,50470,N
428,250/500,500,1344.36,7000000,FEMALE,JD,prof-specialty,other-relative,0,0,2/6/2015,Parked Car,?,Minor Damage,None,6375 2nd Lane,1,?,2,3,NO,6500,1300,650,4550,N
45,100/300,1000,1197.71,0,MALE,Masters,machine-op-inspct,not-in-family,29000,0,2/14/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,3770 Flute Drive,3,?,2,0,?,78240,13040,13040,52160,N
136,100/300,500,1203.24,0,FEMALE,JD,transport-moving,other-relative,62500,-66900,2/5/2015,Vehicle Theft,?,Minor Damage,Police,1562 Britain St,1,?,2,0,?,6200,1240,620,4340,N
216,500/1000,1000,1152.4,0,FEMALE,Associate,priv-house-serv,unmarried,39600,-82400,1/25/2015,Parked Car,?,Minor Damage,Police,1681 Cherokee Hwy,1,YES,2,3,?,6160,560,1680,3920,N
278,500/1000,2000,1142.62,7000000,FEMALE,MD,farming-fishing,not-in-family,0,-54000,1/16/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,7523 Oak Lane,1,?,2,0,?,76050,11700,11700,52650,N
295,500/1000,1000,1332.07,0,FEMALE,MD,exec-managerial,unmarried,49700,-59100,1/28/2015,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,1815 Cherokee Drive,2,NO,2,1,YES,86060,13240,13240,59580,N
112,500/1000,1000,1166.54,0,FEMALE,Masters,prof-specialty,not-in-family,47700,-59300,1/21/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,9316 Pine Ave,1,YES,2,0,NO,107900,10790,21580,75530,Y
122,250/500,500,1495.06,0,FEMALE,Masters,prof-specialty,unmarried,38100,-31400,1/7/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2733 Texas Drive,3,NO,2,0,YES,99990,18180,18180,63630,N
108,500/1000,1000,1337.92,0,FEMALE,PhD,armed-forces,not-in-family,71400,0,2/23/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,7684 Francis Ridge,3,NO,2,2,YES,61380,11160,5580,44640,N
14,250/500,2000,1587.96,0,FEMALE,Associate,craft-repair,unmarried,0,-26900,2/14/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,8991 Embaracadero Ave,1,?,2,1,YES,71280,12960,12960,45360,Y
298,500/1000,1000,1362.29,0,MALE,High School,farming-fishing,unmarried,0,-51100,2/27/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,4905 Francis Ave,3,NO,0,0,NO,64000,12800,6400,44800,N
276,250/500,500,1448.84,0,FEMALE,Masters,machine-op-inspct,husband,0,-50000,2/21/2015,Parked Car,?,Trivial Damage,Police,7783 Lincoln Hwy,1,?,0,1,NO,5940,660,660,4620,N
47,250/500,2000,1241.97,0,MALE,High School,other-service,not-in-family,75400,0,1/5/2015,Parked Car,?,Minor Damage,None,8749 Tree St,1,NO,1,0,NO,6700,670,670,5360,N
222,250/500,500,1124.6,0,MALE,Associate,armed-forces,not-in-family,0,0,1/30/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,4985 Sky Lane,3,YES,0,0,?,51740,11940,7960,31840,N
119,250/500,2000,1079.92,0,MALE,High School,machine-op-inspct,husband,88800,0,2/26/2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,7534 MLK Hwy,1,?,0,1,YES,53600,6700,6700,40200,Y
73,250/500,1000,1447.78,0,MALE,College,protective-serv,wife,35100,-59900,1/10/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,8689 Maple Hwy,3,YES,1,0,?,44910,4990,4990,34930,N
8,250/500,500,1229.16,4000000,FEMALE,MD,transport-moving,wife,0,-88300,2/23/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,9153 3rd Hwy,3,?,0,2,YES,48100,11100,7400,29600,N
294,100/300,1000,1226.49,0,FEMALE,PhD,farming-fishing,unmarried,53900,0,2/5/2015,Vehicle Theft,?,Trivial Damage,None,5904 1st Drive,1,NO,0,1,NO,6100,610,1220,4270,N
324,100/300,2000,897.89,6000000,MALE,MD,tech-support,wife,0,-41300,1/21/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4519 Embaracadero St,1,?,1,0,YES,79600,15920,15920,47760,N
155,100/300,500,1706.79,0,MALE,Masters,protective-serv,other-relative,0,0,1/7/2015,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,9706 MLK Lane,1,NO,1,1,YES,77040,8560,8560,59920,N
261,250/500,1000,1254.18,0,FEMALE,PhD,prof-specialty,other-relative,0,-45100,1/11/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,6012 Texas Hwy,1,YES,0,1,?,62590,11380,11380,39830,N
245,500/1000,500,885.08,0,FEMALE,Masters,armed-forces,other-relative,27000,-58900,2/6/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,4098 Weaver Ridge,1,YES,0,1,NO,85150,13100,13100,58950,N
235,100/300,500,1046.58,4000000,MALE,MD,tech-support,wife,0,-31700,1/24/2015,Vehicle Theft,?,Trivial Damage,None,6193 1st Hwy,1,?,2,1,NO,4950,450,900,3600,N
53,500/1000,2000,1712.68,0,MALE,Associate,handlers-cleaners,not-in-family,72200,0,2/18/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,4053 Sky Lane,3,?,2,0,YES,51100,10220,5110,35770,N
426,500/1000,2000,1097.71,0,FEMALE,Masters,adm-clerical,not-in-family,29600,-22300,1/12/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,8964 Francis St,1,YES,2,3,?,100800,16800,16800,67200,N
111,250/500,500,1363.77,4000000,FEMALE,Masters,tech-support,husband,51100,0,1/17/2015,Single Vehicle Collision,Side Collision,Total Loss,Police,9748 Sky Drive,1,YES,2,3,NO,90970,16540,16540,57890,N
86,100/300,500,1382.88,7000000,MALE,JD,tech-support,other-relative,0,-30300,1/12/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,2293 Washington Ave,1,?,1,1,YES,81840,14880,7440,59520,Y
296,100/300,1000,1141.35,7000000,MALE,Masters,craft-repair,not-in-family,0,0,1/6/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,3656 Solo Ave,1,?,0,2,NO,54900,5490,5490,43920,N
125,500/1000,500,1054.83,7000000,MALE,JD,tech-support,husband,0,-51300,2/25/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,8579 Apache Drive,1,YES,2,3,NO,88660,8060,16120,64480,Y
177,100/300,2000,1057.77,0,FEMALE,JD,tech-support,unmarried,0,-57700,2/16/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,2003 Maple Hwy,3,?,1,1,NO,18000,2250,2250,13500,N
238,250/500,2000,1488.02,0,FEMALE,JD,protective-serv,other-relative,0,-39200,2/25/2015,Vehicle Theft,?,Minor Damage,Police,5445 Tree Hwy,1,YES,1,3,YES,5500,1100,550,3850,N
81,100/300,500,920.3,5000000,FEMALE,High School,tech-support,own-child,51000,-67900,2/21/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,9730 2nd Hwy,3,?,1,0,?,73920,13440,6720,53760,Y
128,500/1000,1000,986.53,0,FEMALE,High School,adm-clerical,other-relative,62700,0,2/16/2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,7819 Oak St,1,NO,0,2,YES,101860,18520,18520,64820,N
449,250/500,2000,1440.68,0,MALE,Associate,tech-support,own-child,25000,0,2/9/2015,Parked Car,?,Minor Damage,None,1845 Best St,1,YES,0,1,YES,5390,980,980,3430,N
252,250/500,1000,1086.21,0,MALE,JD,farming-fishing,unmarried,68500,-57500,2/13/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,2500 Tree St,1,?,1,2,?,50490,5610,5610,39270,N
359,100/300,2000,1367.68,0,FEMALE,MD,handlers-cleaners,unmarried,0,0,1/11/2015,Single Vehicle Collision,Front Collision,Total Loss,Police,6955 Pine Drive,1,NO,0,3,NO,55500,5550,11100,38850,N
19,500/1000,1000,1215.85,0,MALE,High School,other-service,husband,42900,-90200,1/2/2015,Vehicle Theft,?,Minor Damage,Police,6165 Rock Ridge,1,YES,1,1,YES,7040,1280,640,5120,N
73,250/500,2000,1191.19,4000000,MALE,MD,farming-fishing,not-in-family,29300,0,2/12/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,3653 Elm Drive,3,?,0,1,YES,40160,5020,0,35140,N
285,500/1000,1000,1594.45,0,MALE,High School,handlers-cleaners,husband,0,0,2/5/2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,5812 3rd Hwy,2,YES,2,3,NO,55680,6960,6960,41760,N
196,250/500,2000,1463.07,0,MALE,MD,armed-forces,own-child,0,0,1/24/2015,Vehicle Theft,?,Trivial Damage,Police,4939 Best St,1,?,1,1,NO,5300,530,530,4240,Y
223,250/500,500,1734.09,0,FEMALE,MD,adm-clerical,not-in-family,0,0,1/12/2015,Parked Car,?,Trivial Damage,None,4964 Elm Lane,1,YES,0,3,?,5200,650,650,3900,N
328,250/500,500,1411.43,0,MALE,Masters,armed-forces,own-child,45100,-32800,1/16/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,9588 Solo St,1,YES,2,1,NO,59400,5940,11880,41580,N
285,100/300,2000,1512.58,0,FEMALE,College,sales,other-relative,47600,0,1/13/2015,Vehicle Theft,?,Minor Damage,Police,8718 Apache Lane,1,?,1,1,?,2520,280,280,1960,N
30,250/500,2000,1153.35,0,MALE,PhD,craft-repair,not-in-family,0,0,2/2/2015,Vehicle Theft,?,Trivial Damage,Police,3590 Best Hwy,1,NO,2,1,YES,5760,960,960,3840,N
342,250/500,500,1722.95,0,MALE,PhD,transport-moving,not-in-family,63100,-13800,2/28/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,6149 Best Ridge,1,?,2,0,YES,76700,7670,7670,61360,N
219,250/500,2000,1281.07,7000000,FEMALE,High School,protective-serv,unmarried,0,0,1/18/2015,Parked Car,?,Trivial Damage,Police,4116 Embaracadero Lane,1,NO,0,2,NO,5920,740,740,4440,N
468,100/300,500,1011.92,0,MALE,PhD,machine-op-inspct,wife,0,0,2/15/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,3486 Flute Ave,3,YES,0,3,?,64350,7150,7150,50050,N
241,250/500,2000,1042.26,0,MALE,JD,sales,husband,0,0,1/31/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,5994 5th Ave,3,NO,1,2,?,19080,4240,2120,12720,N
223,500/1000,500,1235.1,0,FEMALE,Masters,tech-support,not-in-family,66400,-34400,2/10/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,9138 3rd St,1,NO,2,1,NO,54400,5440,5440,43520,N
128,100/300,2000,768.91,0,FEMALE,College,sales,other-relative,0,-39300,2/26/2015,Single Vehicle Collision,Rear Collision,Total Loss,Fire,3743 Andromedia Ridge,1,?,1,0,NO,59800,5980,5980,47840,Y
124,500/1000,500,1301.72,0,MALE,Masters,handlers-cleaners,husband,0,0,2/25/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,7644 Tree Ridge,3,?,0,3,YES,72000,7200,7200,57600,N
343,250/500,500,1451.54,3000000,MALE,JD,adm-clerical,husband,0,0,1/8/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,3167 2nd St,4,NO,2,3,NO,65070,7230,14460,43380,N
404,250/500,500,767.14,0,MALE,Associate,sales,not-in-family,25500,-36700,1/14/2015,Parked Car,?,Trivial Damage,Police,3327 Lincoln Drive,1,NO,0,1,NO,8800,1760,880,6160,N
63,250/500,2000,1620.89,0,FEMALE,High School,handlers-cleaners,other-relative,0,0,2/3/2015,Vehicle Theft,?,Minor Damage,Police,8621 Best Ridge,1,NO,2,0,NO,6120,1020,1020,4080,N
210,500/1000,2000,1048.46,0,MALE,High School,priv-house-serv,not-in-family,59900,0,1/5/2015,Vehicle Theft,?,Trivial Damage,None,3878 Tree Lane,1,?,1,2,?,7080,1180,590,5310,N
335,100/300,1000,1538.26,6000000,MALE,High School,sales,other-relative,62200,-31400,1/24/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,9760 Solo Lane,3,YES,2,3,YES,34320,8580,4290,21450,N
11,500/1000,2000,1217.69,0,FEMALE,MD,prof-specialty,wife,24000,0,1/26/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,9138 1st St,3,?,1,0,?,53460,9720,9720,34020,Y
142,100/300,2000,1362.64,5000000,FEMALE,JD,exec-managerial,wife,0,0,1/21/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,3414 Elm Ave,1,YES,1,3,?,81360,6780,13560,61020,Y
272,100/300,1000,1279.13,0,MALE,PhD,craft-repair,other-relative,0,0,2/6/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,3172 Tree Ridge,3,?,1,2,YES,81070,7370,14740,58960,Y
69,100/300,2000,924.72,0,FEMALE,High School,machine-op-inspct,unmarried,0,0,1/7/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,6104 Oak Ave,1,NO,2,2,NO,63120,5260,10520,47340,N
38,250/500,1000,1019.44,0,MALE,Masters,transport-moving,not-in-family,0,-39700,2/10/2015,Vehicle Theft,?,Trivial Damage,None,9742 5th Ridge,1,?,2,1,NO,7200,1440,720,5040,N
328,500/1000,500,1314.6,0,FEMALE,MD,prof-specialty,not-in-family,24800,0,2/23/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,8782 3rd St,1,?,2,3,?,70290,12780,6390,51120,Y
281,100/300,1000,1515.18,6000000,MALE,College,priv-house-serv,other-relative,0,0,1/9/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,9798 Sky Ridge,3,NO,1,0,NO,60190,9260,9260,41670,N
246,250/500,2000,1649.18,0,MALE,College,farming-fishing,other-relative,0,-58600,2/22/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,5483 Francis Drive,1,YES,1,2,YES,61380,11160,5580,44640,Y
298,250/500,500,1451.01,0,FEMALE,College,other-service,own-child,47800,0,2/21/2015,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,2005 Texas Hwy,1,NO,2,2,NO,28100,2810,5620,19670,N
330,500/1000,1000,978.46,0,FEMALE,High School,sales,husband,0,0,2/4/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,6634 Texas Ridge,1,YES,0,0,NO,49060,8920,8920,31220,N
362,250/500,500,1198.34,4000000,MALE,Associate,sales,wife,53000,-72500,1/7/2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,8655 Cherokee Lane,3,?,1,1,NO,57060,6340,6340,44380,N
241,100/300,2000,1003.23,0,FEMALE,Associate,tech-support,not-in-family,0,0,1/17/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,4955 Lincoln Ridge,3,?,0,3,YES,77880,12980,12980,51920,N
245,500/1000,2000,1212,0,MALE,Masters,exec-managerial,unmarried,24400,-60500,1/28/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,7705 Best Ridge,1,YES,0,1,YES,73500,7350,14700,51450,N
371,250/500,1000,1242.96,7000000,FEMALE,High School,other-service,own-child,0,-37100,2/22/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,5838 Pine Lane,2,YES,2,0,?,88920,6840,13680,68400,N
343,500/1000,1000,1053.02,0,FEMALE,Associate,prof-specialty,not-in-family,0,0,2/16/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,7331 Sky Hwy,1,?,0,2,NO,47630,12990,4330,30310,Y
377,100/300,500,1693.63,0,FEMALE,MD,craft-repair,unmarried,0,-64000,2/17/2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,5640 Embaracadero Lane,3,YES,1,3,NO,59040,6560,6560,45920,N
154,250/500,1000,2047.59,0,FEMALE,MD,farming-fishing,other-relative,0,-67800,1/9/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,9610 Cherokee St,1,?,0,3,NO,79530,14460,7230,57840,N
166,100/300,1000,1083.72,0,FEMALE,High School,machine-op-inspct,wife,65600,-68200,2/9/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,3550 Washington Ave,1,NO,0,2,YES,53680,4880,4880,43920,N
298,500/1000,1000,1138.42,6000000,MALE,JD,prof-specialty,own-child,36900,-55000,2/16/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,5277 Texas Lane,1,NO,2,3,YES,33550,3050,6100,24400,N
235,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,husband,39900,-60200,2/18/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,3654 Cherokee Ave,4,?,2,1,YES,69100,6910,6910,55280,N
172,100/300,2000,1219.04,0,MALE,MD,handlers-cleaners,own-child,63600,-68700,1/11/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,7380 5th Hwy,3,?,2,0,NO,79750,14500,14500,50750,N
27,100/300,2000,1371.78,0,MALE,JD,farming-fishing,other-relative,0,-32500,2/4/2015,Multi-vehicle Collision,Front Collision,Major Damage,Other,2539 Embaracadero Ridge,3,?,0,2,YES,53600,5360,10720,37520,Y
428,100/300,2000,1506.21,0,MALE,Masters,transport-moving,unmarried,0,-24400,1/22/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,4693 Lincoln Hwy,3,NO,1,0,?,76560,12760,6380,57420,N
99,100/300,1000,1058.21,3000000,MALE,JD,craft-repair,unmarried,0,0,1/10/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,2376 Sky Ridge,1,YES,1,1,NO,41130,4570,4570,31990,N
107,500/1000,2000,932.14,0,MALE,MD,sales,own-child,40600,0,1/10/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,1273 Rock Lane,3,NO,2,3,NO,78650,14300,7150,57200,Y
272,500/1000,2000,1608.34,0,FEMALE,Associate,farming-fishing,own-child,33300,-10600,2/16/2015,Single Vehicle Collision,Side Collision,Major Damage,Other,8281 Lincoln Lane,1,?,1,1,?,71060,6460,12920,51680,N
151,500/1000,1000,1728.56,0,FEMALE,Masters,farming-fishing,own-child,54000,0,2/8/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,6429 4th Hwy,1,YES,1,1,?,38830,3530,3530,31770,N
249,250/500,1000,1518.46,0,FEMALE,MD,armed-forces,own-child,0,0,1/26/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,2201 4th Lane,1,?,0,0,YES,53500,5350,5350,42800,N
177,100/300,2000,1540.19,0,FEMALE,College,adm-clerical,other-relative,0,-74500,2/1/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,5506 Best St,1,YES,2,0,NO,73700,7370,7370,58960,Y
190,500/1000,2000,965.21,0,FEMALE,JD,exec-managerial,other-relative,36900,-53700,2/2/2015,Parked Car,?,Trivial Damage,None,8404 Embaracadero St,1,?,2,1,YES,6300,630,630,5040,N
174,100/300,2000,1278.75,0,FEMALE,College,tech-support,own-child,53200,-53800,2/6/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,2117 Lincoln Hwy,3,?,2,2,NO,65400,10900,10900,43600,N
95,250/500,1000,773.99,0,MALE,Associate,armed-forces,other-relative,0,-70300,1/1/2015,Vehicle Theft,?,Trivial Damage,None,6359 MLK Ridge,1,YES,1,2,NO,3200,640,320,2240,N
371,500/1000,1000,1532.47,0,FEMALE,Associate,tech-support,other-relative,60300,-24700,1/19/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,9751 Sky Ridge,1,YES,0,3,YES,75400,7540,15080,52780,Y
2,250/500,1000,1340.56,0,FEMALE,JD,machine-op-inspct,not-in-family,0,0,1/17/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,9020 Elm Ave,1,YES,0,2,YES,58140,6460,6460,45220,N
269,100/300,500,1297.75,4000000,FEMALE,JD,other-service,own-child,0,-41400,2/1/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,1830 Sky St,3,?,0,1,?,98670,15180,15180,68310,Y
101,250/500,1000,433.33,0,MALE,Masters,machine-op-inspct,other-relative,25900,0,1/2/2015,Parked Car,?,Minor Damage,None,6067 Weaver Ridge,1,?,0,3,NO,5900,1180,590,4130,N
